identifier,headline,date,source,source,subject,relevant_text,paragraphs,word count,keywords,path
AMZN,Amazon Announces the Best Books of 2017 (So Far),21-Jun-17,BW,"Amazon.com, Inc.",Product/Service,bestselling author of Bad Feminist  recounts how a childhood sexual assault led her to purposely gain weight in order to be unseen and therefore feel safe; it’s a story that will inspire you to be more considerate of the bodies of others and more accepting of your own.,1,48,sexual assault,AMZN - Amazon Announces the Best Books of 2017 (So Far) - 21-Jun-17 - BW.pdf
AMZN,"Amazon Announces the Best Books of 2017, Naming David Grann's Killers of the Flower Moon The Osage Murders and the Birth of the FBI the #1...",8-Nov-17,BW,"Amazon.com, Inc.",Product/Service,"3. Beartown: A Novel by Fredrik Backman : Backman explores community, loyalty and its limits in this eminently readable, compassionate novel set in a small town that comes together over ice hockey and then comes apart over allegations of sexual violence. Backman’s previous books include A Man Called Ove.",1,49,sexual violence,"AMZN - Amazon Announces the Best Books of 2017, Naming David Grann's Killers of the Flower Moon The Osage Murders and the Birth of the FBI the #1... - 08-Nov-17 - BW.pdf"
"AMZN, RHIEQ","Amazon Prime Video Greenlights Lorena, a Docuseries from Jordan Peele's Monkeypaw",5-Apr-18,BW,"Amazon.com, Inc.",Product/Service,"“Jordan has proven himself as a captivating voice of social critique and we are excited to work with him on this project. Lorena reframes Lorena Bobbitt’s story around issues of sexism and domestic abuse and offers Prime members an exclusive new view into how America got her story wrong and maybe continues to get it wrong,” said Heather Schuster, Head of Unscripted, Amazon Originals. | 25 years later, Lorena is a groundbreaking re-investigation of the deep moral issues and painful human tragedies buried at the heart of this infamous American scandal. Lost in the tabloid coverage and jokes was the opportunity for a national discussion on domestic and sexual assault in America.",2,"64, 47","sexual assault, sexism","AMZN, RHIEQ - Amazon Prime Video Greenlights Lorena, a Docuseries from Jordan Peele's Monkeypaw - 05-Apr-18 - BW.pdf"
AMZN,"Amazon Publishing Announces TOPPLE Books, an Imprint with Emmy Award Winner Jill Soloway",27-Feb-18,BW,Amazon Publishing,"Product/Service, Photo/Multimedia","(NASDAQ:AMZN)—Amazon Publishing today announced the launch of TOPPLE Books, a new imprint with Jill Soloway, the writer, filmmaker and TV creator whose credits include the Emmy and Golden Globe Award- winning Transparent  and I Love Dick. Soloway is a prominent activist for LGBTQ representation in the arts as well as one of the founding members of the #TimesUp and #5050by2020 campaigns to eradicate sexual misconduct and gender inequity in the workplace. Building and expanding on that work, TOPPLE Books will spotlight the voices of women of color, gender non-conforming, lesbian, bisexual, transgender and queer writers. | Emmy and Golden Globe Award winner Soloway will be the Editor-at-Large for TOPPLE Books, an Amazon Publishing imprint focused on revolutionary feminist voices",2,"95, 23","sexual misconduct, feminist","AMZN - Amazon Publishing Announces TOPPLE Books, an Imprint with Emmy Award Winner Jill Soloway - 27-Feb-18 - BW.pdf"
AMZN,Amazon to Launch Prime Video Channels for Canada,3-Jun-19,CNW,Amazon Canada,"Economy, Business, Finance, Business (General), New Products, Joint Ventures, Licensing, Patents, Science & Technology",,0,0,,AMZN - Amazon to Launch Prime Video Channels for Canada - 03-Jun-19 - CNW.pdf
"AMZN, 009JPF","Amazon.com, Inc.  Zevin Asset Management LLC",Activist Campaign to Vote For a Stockholder Proposal Announced - 08-May,19,,,"On 5-8-2019, Zevin Asset Management LLC filed a notice of exempt solicitation and urged the shareholders of  Amazon.com, Inc. to support its proposal requesting the company to prepare a report assessing the feasibility of  integrating sustainability metrics, including metrics for diversity, inclusion, and equity among senior executives at the  2019 annual meeting. Zevin believed that a sustainability metric promotes executive focus and accountability to  corporate sustainability goals and noted that the company dismissed a similar proposal without any explanation or  justification. ",1,81,diversity,"AMZN, 009JPF - Amazon.com, Inc.  Zevin Asset Management LLC - Activist Campaign to Vote For a Stockholder Proposal Announced - 08-May-19 - FSWA.pdf"
"AMZN, 009JPF","Amazon.com, Inc.  Zevin Asset Management LLC",Company Makes Material Announcement Regarding  Activist Campaign - 24-May,19,,,"On 5-8-2019, Zevin Asset Management LLC filed a notice of exempt solicitation and urged the shareholders of  Amazon.com, Inc. to support its proposal requesting the company to prepare a report assessing the feasibility of  integrating sustainability metrics, including metrics for diversity, inclusion, and equity among senior executives at the  2019 annual meeting. Zevin believed that a sustainability metric promotes executive focus and accountability to  corporate sustainability goals and noted that the company dismissed a similar proposal without any explanation or  justification. On 5-24-2019, Amazon.com announced that the shareholder proposal requesting the company to  prepare a report assessing the feasibility of integrating sustainability metrics among senior executives was defeated  at the 2019 annual meeting, receiving 19.13% of the total votes casts. ",1,120,diversity,"AMZN, 009JPF - Amazon.com, Inc.  Zevin Asset Management LLC - Company Makes Material Announcement Regarding  Activist Campaign - 24-May-19 - FSWA.pdf"
AMZN,"Amazon.com, Inc.(AMZN",US) Schedules Annual General Meeting for 27-May-2020 1200 PM ET,27,,,,0,0,,"AMZN - Amazon.com, Inc.(AMZN-US) Schedules Annual General Meeting for 27-May-2020 1200 PM ET - 27-Mar-20 - FCSTEV.pdf"
AMCX,"AMC Networks, Inc.(AMCX",US) Schedules Q4 2017 Earnings Call for 1-March-2018 1000 AM ET,18,,,,0,0,,"AMCX - AMC Networks, Inc.(AMCX-US) Schedules Q4 2017 Earnings Call for 1-March-2018 1000 AM ET - 18-Jan-18 - FCSTEV.pdf"
AAL,American Airlines Celebrates 15 Years With Perfect 100 Percent Score on Human Rights Campaign's Corporate Equality Index,5-Dec-16,PMZ,,Company Announcement,"“American Airlines takes inspiration from the ideals of the Corporate Equality Index,” said Patrick O'Keeffe, American’s vice president – PSS & Corporate Technology and the co-executive sponsor of the airline’s Pride Employee Business Resource Group (EBRG). “This milestone reflects our employees’ longstanding dedication to diversity, inclusion and equality throughout the company – and to serving our loyal LGBT customers every day. We are grateful to the Human Rights Campaign for this recognition.” | American has a long history of commitment to the LGBT community in the course of doing business. For decades, American’s Pride EBRG, which also was the airline’s first employee resource group, has championed LGBT travelers as well as diversity, equality and respect throughout the travel industry. American is also a proud member and supporter of the National Gay and Lesbian Chamber of Commerce, PFLAG and Lambda Legal. | For more information on American’s commitment to diversity and the LGBT community, visit aa.com/diversity.",3,"72, 67, 14",diversity,AAL - American Airlines Celebrates 15 Years With Perfect 100 Percent Score on Human Rights Campaign's Corporate Equality Index - 05-Dec-16 - PMZ.pdf
AAL,American Airlines Celebrates Inclusion and Diversity During PRIDE Month in June,31-May-17,PMZ,,Company Announcement,"In 2016, American became a diamond-level sponsor of the National Gay Pilots Association (NGPA), a place where LBGT and all ally pilots and aviation enthusiasts come together to celebrate and promote diversity and inclusion in the aviation industry. At this year’s convention, American awarded a $5,000 scholarship and two Boeing 737 type ratings through NGPA to aspiring aviators. | American Airlines Celebrates Inclusion and Diversity During PRIDE Month in June  Wednesday, May 31, 2017 05:00:00 PM (GMT) | “For over two decades, American has been a pioneer in establishing fair-minded policies and practices for our LGBT customers and team members,” commented Patrick O’Keeffe, senior vice president – People, and executive sponsor for Pride, American’s Employee Business Resource Group for LGBT and ally team members. “The key to our success as a company is being an airline customers want to fly, where people want to work and shareholders want to invest. It’s about being an inclusive airline that embraces diversity and creates an environment of mutual respect.” | For more information on American’s commitment to diversity and the LGBT community, visit aa.com/diversity.",4,"58, 18, 88, 14","Diversity and Inclusion, diversity",AAL - American Airlines Celebrates Inclusion and Diversity During PRIDE Month in June - 31-May-17 - PMZ.pdf
AAL,American Airlines Celebrates Team Members' Commitment to Diversity and Inclusion With the 10th Annual Earl G. Graves Award Morgan State Un...,27-Sep-18,PMZ,,Company Announcement,"American Airlines Celebrates Team Members’ Commitment to Diversity and Inclusion With the 10th Annual Earl G. Graves Award; Morgan State University Receives $10,000 Grant  Thursday, September 27, 2018 06:31:46 PM (GMT) | FORT WORTH, Texas, Sept. 27, 2018 (GLOBE NEWSWIRE) -- American Airlines today hosted its 10th annual Earl G. Graves Award for Leadership in Diversity and Inclusion luncheon recognizing team members across the company for their advocacy for diversity, equity and inclusion at work and in the community. | American Airlines recognized team members across the company for their advocacy for diversity, equity and inclusion at work and in the community with its 10th annual Earl G. Graves Award for Leadership in Diversity and Inclusion. | “Every day, we strive to ensure that our team members and customers feel welcomed and confident in the trust they place in us. We believe pushing ourselves to be better will create opportunities for us all to come together every day in service of one another, our customers and our communities,” said Patrick O’Keeffe, American’s Senior Vice President of People. “These honorees demonstrate exceptional leadership in their efforts to promote diversity and inclusion.” | The 2018 Earl G. Graves Award for Leadership in Diversity and Inclusion honorees are: | “We are grateful to American Airlines for making this generous gift possible, and to the diversity champions in this room today, for bringing the Earl G. Graves legacy to life through your leadership and commitment to help build a diverse, inclusive, global organization where individuals are valued and mutually respected,” said Donna Howard, Development Director at Morgan State University. | Alessia Giovannotti, Premium Customer Services Representative, London In May, Alessia assisted in starting the Professional Women in Aviation Employee Business Resource Group (EBRG) chapter in London. In just four months, the chapter has grown to more than 100 members. Her first-hand experience working in diverse locations and interacting with different cultures sparked her interest in creating a local chapter. Alessia believes diversity is a key factor in improving the work environment for team members and customers. As a Premium Customer Services Representative, her responsibility is to provide exemplary service to all customers, ensuring all their needs are met. | “Our diversity makes us unique and bringing our diverse perspectives together is what makes us strong.” — Alessia Giovannotti | Sonia Lopez, Reservations Manager, Lima, Peru Sonia has worked in the airline business for 44 years. She says that her passion for service, her respect for others and understanding that diversity can only add to the whole were imprinted in her by her parents at a very early age. Sonia’s desire for equal possibilities for everybody in her community drove her to lead several projects in different parts of Peru, including providing electricity and water to a school located in a shanty town, collecting and donating unneeded spare metal aircraft parts to shops that made prosthetics for disabled children, and the construction of a dining room for Arie, a hospital for handicapped children. Sonia often quotes Francis of Assisi when asked about her endless efforts, both personally and professionally: “Start by doing what’s necessary, then do what’s possible, and suddenly you are doing the impossible.” | Syed Masood, IT Senior Project Manager, Fort Worth Syed understands that the important lessons of inclusion and diversity are taught in classrooms. This year, he pioneered a joint venture between his two favorite organizations: Islamic Circle of North American (ICNA) Dallas and American, and successfully executed an annual recognition program to honor the contributions of public school teachers in the DFW area. His goal is to acknowledge the value these teachers have added in the lives of the increasingly diverse students within their classrooms. Due to these collaborative efforts, ICNA Dallas recognized and awarded American as “The Best Employer” in 2016 for community engagement and outstanding efforts for inclusion and diversity. | Steven Sherrill, Facilities and Project Administration Manager, Fort Worth Steve is the primary liaison between Corporate Real Estate and Supplier Diversity. He has been involved with EBRGs since 2002, when he became a charter member of Spectrum, one of the first groups of its kind at US Airways. Since then, he has been active in the Pride EBRG, including serving as president of the DFW chapter of Pride for the past three years. Steve was recently elected to the Diversity Advisory Council as one of the global leads of the Pride EBRG. Also, he is working to establish a North Texas LGBTQ Corporate Roundtable, where local corporations collaborate to promote community service projects and mentor corporations on establishing EBRG programs. | “Embracing and celebrating the pillars of inclusion and diversity is essential to the success of any individual, team, and global organization.” — Steven Sherrill | Created in 2008, the award was named in honor of Earl G. Graves Sr., an entrepreneur, philanthropist and former member of American’s Board of Directors (1995–2008). Graves personifies diversity in every sense of the word, reminding us that respecting and appreciating each other's differences is not only the right thing to do, but also a critical piece to the overall success and health of American. ﻿ chairman of the Diversity Committee of the AMR Board. American Airlines recognizes two to four team members annually with the Earl G. Graves Award for their demonstration of leadership in inclusion and diversity at American and in their local community. | American’s longstanding commitment to inclusion and diversity is part of the company’s culture of coordinated, collaborative teamwork and mutual respect and has been recognized by diversity advocacy groups including the Human Rights Campaign, Association of ERGs & Councils, US Business Leadership Network® and American Association of People with Disabilities. For more information, please visit aa.com/diversity.",14,"31, 47, 36, 73, 14, 59, 98, 19, 145, 111, 120, 24, 106, 55","Diversity and Inclusion, diversity",AAL - American Airlines Celebrates Team Members' Commitment to Diversity and Inclusion With the 10th Annual Earl G. Graves Award Morgan State Un... - 27-Sep-18 - PMZ.pdf
AAL,American Airlines Group Reports Highest Quarterly Profit In Company History,24-Jul-15,PRN,American Airlines Group Inc.,"Conference Call Announcements, Earnings, Dividends & Forecasts","Recognized four employees with the 2015 Earl G. Graves Award for Leadership in Diversity and Inclusion for their work in making a lasting impression in the workplace, in the community and as role models in diversity Provided a charter flight carrying 44 World War II veterans from  Los Angeles  International Airport to New Orleans  for a visit to The National WWII Museum Launched a disaster relief campaign with the American Red Cross and UNICEF for  Nepal and raised approximately $100,000 from our customers and employees",1,85,Diversity and Inclusion,AAL - American Airlines Group Reports Highest Quarterly Profit In Company History - 24-Jul-15 - PRN.pdf
AAL,American Airlines Group Reports Record Fourth Quarter and Full Year Profit,29-Jan-16,PMZ,,Earnings Releases and Operating Results,"Hosted Sky Ball XIII at the airline’s DFW hangar. This annual fundraiser benefits the nation’s active, reserve and retired military. Approximately 1,000 American Airlines employee volunteers supported the 2015 event, which raised a record $2.2 million American received, for the 14th consecutive year, the highest possible ranking by the Human Rights Campaign in the 2016 Corporate Equality Index, a nationally recognized benchmark of America's top workplaces for inclusion of LGBT employees American’s Be Pink campaign raised $1.8 million in cash and frequent flyer mile donations for Susan G. Komen, which raises money to fight breast cancer, and the American Cancer Society The Environmental Protection Agency announced American is now ranked 43rd on their Fortune 500 list of the largest green power users Recognized four employees with the 2015 Earl G. Graves Award for Leadership in Diversity and Inclusion for their work in making a lasting impression in the workplace, in the community and as role models in diversity Awarded $565,000 in college scholarships to 210 dependents of employees through the American Airlines Education Foundation, including 40 for first-generation college attendees Launched Fuel Smart, a company-wide fuel saving program to reduce usage of aircraft auxiliary power units when jets are parked on the ground; a portion of the savings generated by this reduced usage will benefit Air Compassion for Veterans, a nonprofit organization providing air transportation to injured veterans and active duty military traveling for medical, rehabilitation, or other veteran-related purposes In 2015, American Airlines employees participated in more than 11,600 volunteer events in their communities, contributing more than 77,000 hours of volunteer time in the communities where they live and where American provides service. In addition, as part of the Company’s Flights for 50 awards program, American employees donated more than 6.4 million frequent flier miles to nonprofit organizations in their communities",1,302,Diversity and Inclusion,AAL - American Airlines Group Reports Record Fourth Quarter and Full Year Profit - 29-Jan-16 - PMZ.pdf
AAL,American Airlines Group Reports Third,Quarter 2018 Profit - 25-Oct,18,,Earnings Releases and Operating Results,"Celebrated being an inclusive and diverse employer by honoring four team members with the 10th annual Earl G. Graves Award for Leadership in Diversity & Inclusion.  American also awarded Morgan State University in Baltimore a $10,000 education grant as part of the 10th anniversary commemoration. For the third year in a row, the airline was named among the “2018 DEI Best Places to Work for Disability Inclusion” and received the top score of 100 on the 2018 Disability Equality Index.",1,80,Diversity & Inclusion,AAL - American Airlines Group Reports Third-Quarter 2018 Profit - 25-Oct-18 - PMZ.pdf
AAL,"American Airlines Group, Inc.(AAL",US) Schedules Annual General Meeting for 12-June-2019 1000 AM ET,1,,,,0,0,,"AAL - American Airlines Group, Inc.(AAL-US) Schedules Annual General Meeting for 12-June-2019 1000 AM ET - 01-May-19 - FCSTEV.pdf"
AAL,"American Airlines Group, Inc.(AAL",US) Schedules Investor Day for 28-September-2017 900 AM ET,21,,,,0,0,,"AAL - American Airlines Group, Inc.(AAL-US) Schedules Investor Day for 28-September-2017 900 AM ET - 21-Sep-17 - FCSTEV.pdf"
AAL,"American Airlines Group, Inc.(AAL","US) Schedules J.P. Morgan Aviation, Transportation and Industrials Conference for 5-March-2019 1100 A...",26,,,,0,0,,"AAL - American Airlines Group, Inc.(AAL-US) Schedules J.P. Morgan Aviation, Transportation and Industrials Conference for 5-March-2019 1100 A... - 26-Feb-19 - FCSTEV.pdf"
AAL,American Airlines Proudly Celebrates Black History Month,2-Feb-15,PRN,American Airlines,Human Interest Groups,"""Throughout the years we have continued to focus on our diversity and inclusion initiatives, which positively impact our more than 100,000 employees, our customers and the many communities we serve,"" said Elise Eberwein, American's executive vice president – People and Communications. ""Teams are more effective when they include diverse points of view, experiences and skills. We believe increasing the awareness of these historical milestones is a small, but important, step in furthering our own internal diversity efforts."" | The February issue of American Way , American's award-winning in-flight magazine, will include an ""In Their Own Words"" story featuring Robert Williams and Bridget Tarkington from the airline's African American Diversity Network Employee Business Resource Group (AADN). The article will highlight American's longstanding and award-winning diversity initiatives and programs. | American has been recognized for its diversity efforts, including being named in the 2014 Black EOE Journal's Best of the Best for Top Diversity Employers, Top Supplier Diversity Programs and Top LGBT Employers, and the airline's Diversity Advisory Council was named one of the top 25 councils in the nation for the sixth consecutive year. American also recently received the United Negro College Fund's (UNCF) Dallas Chapter Excellence in Education Award and the highest possible rating in the Human Rights Campaign's Corporate Equality Index for the 13th consecutive year.",3,"77, 49, 89","Diversity and Inclusion, diversity",AAL - American Airlines Proudly Celebrates Black History Month - 02-Feb-15 - PRN.pdf
"AAL, 0CVK87, 070JH5",American Airlines Receives the Top Score of 100 on the Disability Equality Index,13-Jul-16,PMZ,,Company Announcement,"About the Disability Equality Index ® (DEI®) The DEI® is a joint initiative of the USBLN and AAPD. Developed by the  DEI Advisory Committee, a diverse group of business leaders, policy experts, and disability advocates, the DEI is a national, transparent, annual benchmarking tool that offers businesses an opportunity to receive an objective assessment of their overall disability inclusion policies and practices. It is an aspirational, educational, recognition tool that goes far beyond legal compliance, helping companies identify opportunities for continued improvement, while building their reputations as organizations that value diversity and inclusion.  | “American Airlines is proud of our 100 percent score on this year’s Disability Equality Index survey,” said Mike Waldron, managing director, Diversity and Talent Management.  “After scoring 90 percent last year, we knew we could do better so we reviewed processes highlighted by our survey results and made some key changes to ensure we better serve our employees and customers. Doing well in this area of service and employment is very important to us.” | About the US Business Leadership Network ® (USBLN®) The US Business Leadership Network® (USBLN®) is a national non-profit that helps business drive performance by leveraging disability inclusion in the workplace, supply chain, and marketplace. The USBLN serves as the collective voice of nearly 50 Business Leadership Network affiliates across the United States, representing more than 5,000 businesses. Additionally, the USBLN Disability Supplier Diversity Program®",3,"93, 74, 64","Diversity and Inclusion, diversity","AAL, 0CVK87, 070JH5 - American Airlines Receives the Top Score of 100 on the Disability Equality Index - 13-Jul-16 - PMZ.pdf"
AAL,American Airlines Recognizes Four Employees for Their Work in Diversity and Inclusion With Earl G. Graves Award,15-Sep-16,PMZ,,Company Announcement,"American Airlines Recognizes Four Employees for Their Work in Diversity and Inclusion With Earl G. Graves Award  Thursday, September 15, 2016 05:15:12 PM (GMT) | FORT WORTH, Texas, Sept. 15, 2016 (GLOBE NEWSWIRE) -- Today American Airlines (NASDAQ:AAL) recognized four employees with the 2016 Earl G. Graves Award for Leadership in Diversity and Inclusion. | American Airlines is proud to celebrate (L to R) Victor Escalante, manager, Customer Experience Reservations, DFW RES; Priyanka Arora, senior specialist, IT Vendor Relations, HDQ; Faythe Clark, representative, RDU RES and Todd Rice, manager, Purchasing Administration & Supply Development, HDQ, for their extensive efforts to lead diversity and inclusion initiatives at work and in their local community. | “American has a long-standing commitment to inclusion and diversity, and these employees are stalwart examples in the workplace, serve as role models in their local communities, and are seen as leaders and advocates of diversity,” said Loral Blinde, vice president - People. “These employees have championed diversity by serving as leaders of Employee Business Resource Groups (EBRG), challenging the ideas of local civic leaders to bring about change and raised significant funds to help those in need throughout the world.”  | Priyanka Arora, senior specialist – IT Vendor Relations, Headquarters Priyanka says “Diversity is in my DNA” and her actions exemplify her words. She has volunteered in a variety of capacities including interpreter at the Phoenix Municipal Court, facilitating bone marrow drives, and raising funds for the American Diabetes Association, Tarrant Area Food Bank and Junior Achievement. Additionally, she actively participates in supplier diversity fairs to ensure equal representation across all sectors, serves as the president of the Indian Employee Business Resource Group (IEBRG), and in 2016 arranged to have a Sikh priest attend World Prayer Day to add greater diversity and participation to the event.  | Victor Escalante, manager – Customer Experience Reservations,  DFW Reservations Victor serves as the Latin Diversity Network EBRG president, this spring he arranged one of the most successful mission trips to date. Members of the EBRG raised $3,500 to bring toys, hygiene kits and provide meals to Fundacion Jonathon, an organization that provides free food and medical care to children in need. More than 45 mission trip attendees also brought 74 bags full of earthquake relief items to the people of Quito. Under his leadership the Latin Diversity Network EBRG was recognized by the United States Hispanic Chamber of Commerce as one of the top five resource groups in the country. | Todd Rice, manager – Purchasing Administration & Supply Development, Headquarters As the leader of the Purchasing recruiting team, Todd looks for diversity, bringing different backgrounds and perspectives to the team, making American stronger.  He seeks out the best and most diverse candidates by attending conferences like the National Society of Hispanic MBAs, National Black recruiting, and LGBT career fairs.  Todd serves as a mentor to certified LBGT suppliers through his work with the National Gay and Lesbian Chamber of Commerce. | American's long-standing commitment to diversity is part of the company's culture of coordinated, collaborative teamwork and mutual respect and has been recognized by the Human Rights Campaign, the Association of ERGs & Councils, US Business Leadership Network® and the American Association of People with Disabilities. For more information, please visit aa.com/diversity.",8,"24, 29, 57, 80, 105, 110, 80, 51","Diversity and Inclusion, diversity",AAL - American Airlines Recognizes Four Employees for Their Work in Diversity and Inclusion With Earl G. Graves Award - 15-Sep-16 - PMZ.pdf
AAL,American Airlines Recognizes Four Team Members for Their Commitment to Inclusion & Diversity With Earl G. Graves Award,12-Sep-17,PMZ,,Company Announcement,"FORT WORTH, Texas, Sept. 12, 2017 (GLOBE NEWSWIRE) -- Today American Airlines (Nasdaq:AAL) recognized four team members with the 2017 Earl G. Graves Award for Leadership in Diversity and Inclusion. | American Airlines Recognizes Four Team Members for Their Commitment to Inclusion & Diversity With Earl G. Graves Award  Tuesday, September 12, 2017 08:04:14 PM (GMT) | “One of the keys to American’s success is fostering an inclusive work environment that embraces the diversity of our team members and the customers we serve,” said Patrick O’Keeffe, senior vice president - People. “These honorees are excellent examples of those principles and American is better because of their steadfast commitment to creating a more tolerant, thoughtful and inclusive world.”  | Marissa Horne, director, Employee Technology, HDQ  Marissa serves as the Executive Sponsor of the IT Senior Management Forum, an organization that helps the career development and mentorship of African American professionals in IT. Additionally she is a member of The Links, a national organization of women committed to community service. She also is passionate about Science, Technology, Engineering, and Math (STEM). As a result, in 2012, she helped launched a STEM Academy for Dallas based middle- and high-school girls. Each month more than 50 students participate in activities that expose them to academic and career interests related to STEM.     Nisha Pasha, Administrator, Cargo Sales  More than 20 years ago Nisha helped strengthen American’s commitment to inclusion and diversity by helping start the Indian Employee Business Resource Group (EBRG). Nisha encourages others to support diversity related activities by participating first – and inviting colleagues to join her. Every Friday Nisha comes to work in traditional Indian dress (weather permitting), and welcomes questions from colleagues about her attire, creating an open dialogue. Nisha is active in the community and has served on the Greater Dallas Asian American Chamber of Commerce, organizing all of the cultural aspects of the “Discover India!” festivals for more than five years.     | Flavia Turrini, Reservations Agent, LPL   Through Flavia’s leadership, team members at Liverpool John Lennon Airport (LPL), opened the first international EBRG chapter for American – Language Matters (an EBRG that brings team members with a passion for learning and appreciating languages together), started the first international PRIDE chapter and approached the Professional Women in Aviation EBRG about starting a chapter at LPL. Flavia also actively coordinates community events and has developed several new activities through local universities.     Danielle Piergallini, senior analyst, Marketing, HDQ   For almost three years Danielle has served on the Diversity Advisory Council for the PRIDE EBRG. Danielle utilized the company’s transgender medical benefits and became a great resource for other transgender team members across the company. For the past two years, Danielle has volunteered every other Tuesday night with the Dallas LGBT Resource Center’s Gender Identity youth program. This work involves her leading group discussions and being a mentor to transgender teenagers from all over the DFW area. Beyond the Dallas community, Danielle also serves on the national board of directors for Lambda Legal and has been actively involved with the organization Reaching Out LGBT MBA for the past six years.   | American's long-standing commitment to inclusion and diversity is part of the company's culture of coordinated, collaborative teamwork and mutual respect and has been recognized by the Human Rights Campaign, the Association of ERGs & Councils, US Business Leadership Network® and the American Association of People with Disabilities. For more information, please visit aa.com/diversity.",6,"30, 25, 60, 204, 194, 53","Diversity and Inclusion, diversity",AAL - American Airlines Recognizes Four Team Members for Their Commitment to Inclusion & Diversity With Earl G. Graves Award - 12-Sep-17 - PMZ.pdf
"APPCQ, 071MGK",American Apparel Earns 100 Percent Rating on Human Rights Campaign Foundation's 14th Annual Corporate Equality Index,18-Nov-15,PRN,"American Apparel, Inc.","Corporate Social Responsibility, Human Interest Groups","""I'm thrilled that we were able to enhance our employee offerings with transgender benefits, which are now in our insurance policies. We will continuously strive to provide the most comprehensive benefit packages for our outstanding employees who are passionate individuals from all backgrounds,"" said CEO Paula Schneider. ""We will continue to champion the causes most important to American Apparel, including gender equality."" | About The Human Rights Campaign The Human Rights Campaign is America's largest civil rights organization working to achieve lesbian, gay, bisexual and transgender equality. By inspiring and engaging all Americans, HRC strives to end discrimination against LGBT citizens and realize a nation that achieves fundamental fairness and equality for all. | ""I'm very grateful to have been a member of the teams that have led American Apparel's LGBT inclusion efforts for the past 10 years"", said Jon Henry Szymanski, Director of Co-Branding and Philanthropy at American Apparel. ""Our dedication to championing diversity, LGBT inclusion and immigration reform has never wavered. I am proud that we can now say with the most certainty that our polices are 100% aligned with the message on our iconic 'Legalize LGBT' tee shirts."" ",3,"62, 50, 77","gender equality, diversity","APPCQ, 071MGK - American Apparel Earns 100 Percent Rating on Human Rights Campaign Foundation's 14th Annual Corporate Equality Index - 18-Nov-15 - PRN.pdf"
"AXP, US025816109",American Express and Newly,acquired Resy Unveil New Culinary Collaborations Kicking off in August - 06-Aug,19,American Express,"Photo/Multimedia, Merger/Acquisition","In its second year, Resy’s Women of Food  series invites trailblazing female chefs to team up with a collaborator of their choice and build an evening around a topic important to them. Each fête tells a different story and contributes to the important dialogue around gender equality in the hospitality industry. This fall, the series goes international with its first ever events in London, and Card Members can take part in a 48- hour reservation pre-sale for the experience.",1,79,gender equality,"AXP, US025816109 - American Express and Newly-acquired Resy Unveil New Culinary Collaborations Kicking off in August - 06-Aug-19 - BW.pdf"
AXP,American Express Canada named one of Canada's Best Diversity Employers for Fifth Year in a Row,12-Mar-20,CNW,American Express Canada,,"In addition, Employee Resource Groups (Colleague Networks as they are referred to at Amex) play a fundamental role in American Express' Diversity and Inclusion strategy. There are currently 10 highly engaged Colleague Network Chapters at Amex Canada. They provide various development, leadership and engagement opportunities for their members while building on the company's inclusive culture. | American Express Canada named one of Canada's Best Diversity Employers for Fifth Year in a Row   Thursday, March 12, 2020 12:00:00 PM (GMT) | TORONTO, March 12, 2020 /CNW/ - American Express Canada is proud to announce that it has been named by Mediacorp Canada Inc.  as one of Canada's Best Diversity Employers for the fifth year in a row.  This year, Amex was recognized for maintaining commitment to their ""Women at Amex"" strategy which supports the development and advancement of female employees, and for the diverse range of colleague networks across the organization. | ""Here at American Express, we are delighted to receive this award once again. We are so proud to lead by example in the corporate world,"" says Annette Kingsley, VP, Market HR at Amex Canada. ""Women currently represent 56% of senior leadership roles here at Amex Canada, and 71% of the company's board of directors. Each year, we celebrate initiatives including International Women's Day, Pride and Black History month – ensuring all employees have the opportunity to get involved in varying activities, supporting the diversity of our company.""",4,"55, 23, 70, 87","Diversity and Inclusion, diversity",AXP - American Express Canada named one of Canada's Best Diversity Employers for Fifth Year in a Row - 12-Mar-20 - CNW.pdf
