who wrote the piece,subject,relevant_text,paragraphs,words,keywords,path
BMO Financial Group,,"About International Day of the Girl   In 2009, Plan International Canada led an extensive two-year campaign that engaged thousands of Canadians in a call for an International Day of the Girl as part of Because I am a Girl, a global initiative to end gender inequality and recognize girls' rights as human rights. In December 2011, with unanimous all- party support, the Canadian government led the United Nations to officially declare October 11 as the International Day of the Girl. Visit plancanada.ca/day-of-the-girl to learn more. | To continue the celebration of the International Day of the Girl and raise awareness of the importance of gender equality, BMO is proud to have hosted two Plan International Canada girl statues at its First Canadian Place offices. The statues depicting young women from diverse backgrounds are now on display at the Toronto Eaton Centre until October 12. | In 2018, BMO announced it is making $3 billion in capital available over the next three years for Canadian businesses owned by women, which will also create new jobs and strengthen communities 40 percent of BMO's senior leadership roles are held by women BMO Celebrating Women is an annual community program running across Canada and in the US that recognizes and honours local women and their impact on Community and Philanthropic Giving, Business Growth, and Innovation & Leadership BMO offers educational tools such as its website, www.bmoforwomen.com and a podcast series Her Money, Her Way , to help inform women on a wide array of relevant topics BMO partners with organizations such as the Women's Presidents Organization, GrowYourBiz, #movethedial and Women Get On Boards, to support development of women leaders and business owners BMO is participating in the Women Deliver 2019  Mobilization Consortium to drive Canadian awareness of the world's largest gender equality conference – Women Deliver 2019 – being held in Vancouver in June 2019 Bloomberg recognized BMO as one of the top ranked Financial Institutions for gender equality BMO is one of just nine companies globally to receive a Catalyst Award for promoting gender diversity twice and, in 2018, two senior leaders were named Catalyst Canada Honours Champions – BMO was the sole Canadian financial institution recognized",3,"85, 58, 219","gender inequality, gender equality","BMO, BMO - BMO Financial Group Celebrates the International Day of the Girl - 11-Oct-18 - CNW.pdf"
BMO Financial Group,,"Products Supporting Women – BMO offers an extensive suite of products and services to support women. For instance, the $3 billion in capital for women-owned businesses will also create new jobs and strengthen communities. Additionally, BMO offers educational tools through, www.bmoforwomen.com, and a podcast series,  Her Money , Her Way , to help inform women on a wide array of relevant topics. Diversity and Inclusion Strategy  – Vision 2020 is a multi-year strategy to drive the bank's performance and industry leadership by fostering greater diversity and inclusion across the organization. Career Development – BMO believes in growing leaders from within. More than 60 per cent of its senior leaders have completed the Leadership EDGE program since its launch in April 2016. BMO Alliance for Women – BMO's largest  Enterprise Resource Group, BMO Alliance For Women, with over 3,000 members, is a community of employees – both men and women – who champion the inclusion, connection, development, advancement, and support of women for the betterment of BMO's business, communities and culture. Developing Future Leaders – BMO helps develop leaders for today and for the future. The bank was an executive sponsor of Plan International's ""Girls Belong Here"" initiative on the International Day of the Girl, during which young women shadowed several BMO executives. The initiative showcased the different career opportunities within the organization for future women leaders. Support for Public Private Partnerships – BMO this week announced a partnership with Women and Gender Equality Canada to provide educational tools to aid not-for-profit organizations supporting women, as well as its sponsorship for the 2019 Women Deliver Conference. | The WomenCorporateDirectors Foundation (WCD) Visionary Award honours companies that are leaders in innovative approaches to building diversity and inclusion within their leadership teams and boards and demonstrate the strong financial performance benefits of diverse and inclusive workplaces. | WomenCorporateDirectors referenced BMO's commitment to workforce diversity that has resulted in 40 per cent of BMO's senior leadership roles, and 36 per cent of independent members of BMO Financial Group Board of Directors, being held by women, along with initiatives supporting female entrepreneurs such as its 2018 announcement that $3 billion in capital would be available over three years for Canadian businesses owned by women. | ""We're honoured to be recognized by WomenCorporateDirectors with a Visionary Award. BMO has long recognized the significant power and potential that diverse and inclusive workforces bring to the growth prospects of companies across all sectors, including ours"", said Darryl White, CEO, BMO Financial Group. ""While we still have more to do, we are extremely proud of the significant improvements we've made in the number of women leading in roles across our organization, including serving as directors on our board. With greater diversity at all levels of our organization, including greater female participation, we've accelerated our growth and performance and strengthened our organizational culture. It is clear that a diverse and inclusive team is good for our business and for our customers.""",4,"265, 37, 65, 121","gender equality, Diversity and Inclusion, diversity","BMO, BMO - BMO Financial Group Honoured with 2019 Visionary Award for Innovation in Shared Value from WomenCorporateDirectors Foundation - 22-May-19 - CNW.pdf"
BMO Financial Group,,"40 per cent of senior leadership roles are held by women 38 per cent of independent Board roles are held by women More than one quarter of senior roles are held by Minorities or Persons of Color Bloomberg recognized BMO as one of the top ranked Financial Institutions for gender equality BMO was recognized as one of the best places to work for LGBT Employees by  The Human Rights Campaign Foundation Recognized as one of the Most Diverse & Inclusive Companies in the World by Thomson Reuters BMO's employees rated the bank's commitment to inclusion in the highest category as a leading company | Central to this recognition is BMO's Diversity and Inclusion program, and its commitment to harnessing the power of all the bank's professionals to create an inclusive culture that benefits its people, shareholders, customers and the communities where it operates. | BMO's dedicated focus on diversity and inclusion has helped the bank achieve important results: | Simon Fish – 2018 Catalyst Canada Honours Business Leader Champion Simon Fish is an exemplary leader, and a trusted advisor to BMO's senior leaders. Guided by his life-long commitment to social justice, inclusion and equitable treatment, Mr. Fish has been instrumental in driving BMO's place as a global leader in diversity and inclusion.   | Simon Fish has led the bank's five-year enterprise strategy to increase the diversity of the workforce at all levels. Simon has built a diverse team of more than 650 legal and compliance professionals across North America, Europe and Asia. More than 45 per cent of the women on this team are in senior leadership roles. Simon has been the guiding force behind BMO's diversity and inclusion efforts. As the Executive Diversity Champion and Co-Chair of the Leadership Committee for Inclusion and Diversity, he's helped set ambitious goals for the bank's strategy. | Kona Goulet  – 2018 Catalyst Canada Honours Emerging Leader Champion   As  Director of Inclusion,  Kona Goulet  has played a pivotal role in establishing inclusion and diversity goals across all BMO's business and corporate segments, as well as coaching and guiding the businesses, diversity and inclusion steering committees and councils to help them build strategies that integrate inclusive | Simon Fish, General Counsel and Executive Diversity Champion, and Kona Goulet , Director of Inclusion, will be celebrated at the Catalyst Canada Honours Conference and Dinner  to be held in October. Both are champions of inclusivity who ensure that all talented people regardless of gender or background have equal opportunity to be recruited, developed and succeed in the workplace. | ""In the workplace, performance should be the only predictor of success. As vocal and visible advocates, Simon Fish and Kona Goulet  have contributed greatly to our inclusion and diversity efforts,"" said  Darryl White, Chief Executive Officer, BMO Financial Group. ""We are very proud that they are being recognized by Catalyst. Kona's and Simon's discipline and leadership have played an important role in ensuring that everyone at BMO – without exception – has the opportunity to meet their full potential.""",8,"103, 39, 14, 53, 91, 57, 59, 79","gender equality, Diversity and Inclusion, diversity","BMO, BMO - BMO Financial Group Leaders recognized as 2018 Catalyst Canada Honours Champions - 27-Jun-18 - CNW.pdf"
BMO Financial Group,,"The Index recognizes companies committed to gender equality and inclusivity within the workplace and the community. Since 2017 the index has doubled in size and currently includes 230 companies from 10 sectors across 36 countries. | Products Supporting Women – BMO offers an extensive suite of products and services to support women. For instance, in 2018, it announced $3 billion in capital would be available over three years for Canadian businesses owned by women, which will also create new jobs and strengthen communities. Additionally, BMO offers educational tools such as its website, www.bmoforwomen.com, and a podcast series,  Her Money , Her Way , to help inform women on a wide array of relevant topics. Diversity and Inclusion Strategy  – Vision 2020 is a multi-year strategy to drive the bank's performance and industry leadership by fostering greater diversity and inclusion across the organization. Career Development – BMO believes in growing leaders from within. More than 60 per cent of its senior leaders have completed the Leadership EDGE program since its launch in April 2016. Women in a Supported Environment (W.I.S.E)  – BMO's largest  Enterprise Resource Group, W.I.S.E., with over 3000 members, is a community of employees – both men and women – who champion the inclusion, connection, development, advancement, and support of women for the betterment of BMO's business, communities and culture. Women in Senior Leadership and Board Representation – 40 percent of senior leadership roles are held by women, while 35.7 per cent of independent directors on BMO's Board of Directors are women. Developing Future Leaders – BMO helps develop leaders for today and for the future. The bank was an executive sponsor of Plan International's ""Girls Belong Here"" initiative on the International Day of the Girl, during which young women shadowed several BMO executives. The initiative showcased the different career opportunities within the organization for future women leaders. | ""An inclusive culture and a workforce that reflects our diverse communities and customers are top priorities at BMO. We continue to be deeply committed to bold actions that foster a sense of belonging for all, including women leaders,"" said Cam Fowler, President of North American Personal & Business Banking, BMO Financial Group, and BMO's Executive Diversity Champion. ""Through workplace initiatives that have led to 40 per cent of senior BMO leaders being women, educational tools  that help women to take control of their finances, and our commitment to provide $3 billion in capital to women-lead businesses, BMO is a leader in supporting and empowering women."" | BMO Financial Group Named to Bloomberg's Gender-Equality Index for Fourth Year in a Row   Wednesday, January 16, 2019 03:39:00 PM (GMT) | TORONTO, Jan. 16, 2019 /CNW/ - BMO Financial Group today announced that it has been included in the Bloomberg Gender-Equality Index (GEI) for the fourth year in a row.",5,"35, 273, 105, 21, 29","gender equality, Diversity and Inclusion, diversity, gender-equality","BMO, BMO - BMO Financial Group Named to Bloomberg's Gender-Equality Index for Fourth Year in a Row - 16-Jan-19 - CNW.pdf"
BMO Financial Group,"Corporate Social Responsibility, Human Interest Groups","Index measures the bank's strong commitment to gender equality BMO recognized for gender disclosures and best-in-class policies and practices One of 103 companies from 10 sectors globally – and one of only 9 companies in  Canada – to be included | TORONTO, Jan. 22, 2018 /PRNewswire/ - BMO Financial Group today announced that it has been included in the Bloomberg Gender-Equality Index (GEI). The index measures gender equality across internal company statistics, employee policies, external community support and engagement, and gender-conscious product offerings for fiscal year 2016. | A diverse board helps the bank make better decisions  – BMO's Board of Directors believes that a board made up of highly qualified directors from diverse backgrounds helps BMO make better decisions.  BMO's Board Diversity Policy includes the goal that each gender comprise at least one third of the independent directors – currently, 42 per cent (five of twelve) of BMO's independent board members are women. Leading by example – BMO CEO  Darryl White signed the Catalyst Accord 2022 and agreed to be a CEO Champion for Change, committing BMO to setting the pace of change for other companies to increase the number of women on boards and women in executive positions. Moving forward – BMO established its Vision2020 strategy with a new gender equity goal to achieve a minimum representation of men and women in senior leadership roles of 40 per cent in each line of business. Gender Equality and the Advancement of Women  – BMO has made a priority of understanding women's unique financial needs and developing tools and resources that can help women investors and business owners succeed. Driving social change by investing in gender-diverse companies – BMO was the first Canadian bank to launch an impact-investing mutual fund focused on gender diversity. The BMO Women in Leadership Fund, which launched in April 2016, provides investors with exposure to a portfolio of North American companies with gender-diverse leadership. Developing leaders for today and for the future  – BMO's Leadership Curriculum consists of research-based, custom-designed programs that incorporate formal, informal and experiential opportunities for BMO leaders at various points in their career. | ""An inclusive culture is a top priority at BMO. We have achieved our goal of 40 per cent women in senior leadership roles; 42 per cent of our independent board members are women; and we have achieved industry- leading inclusivity scores,"" said Simon Fish, General Counsel for BMO Financial Group and BMO's Executive Diversity Champion. ""Looking ahead, this strong diversity and inclusion position gives us a unique opportunity to advance progressive ideas and lead transformation that will create more open, diverse and inclusive workplaces. We will continue to make bold commitments to sustain our progress."" | BMO Financial Group Named to Bloomberg's Gender-Equality Index for Third Year in a Row   Monday, January 22, 2018 05:04:00 PM (GMT)",5,"40, 46, 264, 95, 21","gender equality, Diversity and Inclusion, gender-equality","BMO, BMO - BMO Financial Group Named to Bloomberg's Gender-Equality Index for Third Year in a Row - 22-Jan-18 - PRN.pdf"
BMO Financial Group,"Corporate Social Responsibility, Human Interest Groups","Dow Jones Sustainability Index,  North America  (2019) for the 15th year in a row Bloomberg Gender-Equality Index (2019) for the fourth year in a row Forbes 2019 Best Employers for Diversity( United States) and Best Employers for Women ( United States)",1,41,diversity,"BMO, BMO - BMO Financial Group Named to Corporate Knights' Global 100 Most Sustainable Corporations in the World Ranking - 21-Jan-20 - PRN.pdf"
BMO Financial Group,Accounting Issues,"Earlier this year, BMO was named to the Bloomberg Gender-Equality Index (GEI) for the fifth year in a row.  The index measures gender equality across internal company statistics, employee policies, external community support and engagement, and gender-conscious product offerings.",1,39,gender equality,"BMO, BMO - BMO Financial Group Proxy Circular Now Available - 06-Mar-20 - PRN.pdf"
BMO Financial Group,Accounting Issues,"Earlier this year, BMO was named to the Bloomberg Gender-Equality Index (GEI).  The index measures gender equality across internal company statistics, employee policies, external community support and engagement, and gender-conscious product offerings.",1,32,gender equality,"BMO, BMO - BMO Financial Group Proxy Circular Now Available - 08-Mar-19 - PRN.pdf"
BMO Financial Group,,"Earlier this year, BMO was named to the Bloomberg Gender-Equality Index (GEI).  The index measures gender equality across internal company statistics, employee policies, external community support and engagement, and gender-conscious product offerings.",1,32,gender equality,"BMO, BMO - BMO Financial Group Proxy Circular Now Available - 12-Mar-18 - PRN.pdf"
BMO Financial Group,"Economy, Business, Finance, Business (General), Labor, Human Resource and Employment Issues","Diverse Recruiting All recruiters at BMO are trained in their diversity objectives, the importance of inclusion in the recruitment process, and information about each diverse segment. Recruiters help managers find exceptional people by creating diverse slates of candidates to be interviewed for each role. BMO has also established service-level agreements and diversity objectives with their external recruiting partner and key search firms. For example, on each hiring slate, BMO insists that a minimum of one in every three candidates be diverse. BMO also holds sessions focused on helping recruiters eliminate bias in the recruiting process.",1,95,diversity,"BMO, BMO - BMO Financial Group Recognized as a 2017 Great Place to Work® - 27-Apr-17 - CNW.pdf"
BMO Financial Group,,"40 percent of senior leadership roles are held by women 25 percent of senior roles are held by Minorities or Persons of Colour Bloomberg recognized BMO as one of the top ranked Financial Institutions for gender equality BMO was recognized as one of the best places to work for LGBTQ Employees by  The Human Rights Campaign Foundation BMO's employees rated the bank's commitment to inclusion in the highest category as a leading company | In 2012, BMO launched a five year Diversity Renewal Initiative which focused on transforming its talent pipeline, and organizational culture through innovative diversity and inclusion strategies. In putting diversity and inclusion at the centre of every leadership discussion, BMO has reached a majority of its diverse workforce representation goals for 2018. Key highlights include: | BMO ranked in top 25 in Thomson Reuters Global Diversity & Inclusion Index; Only Canadian bank in the top 25 | TORONTO, Sept. 6, 2018 /CNW/ - For the second year in a row,  BMO Financial Group has been named one of the most diverse and inclusive workplaces. BMO is the only Canadian bank ranked amongst the top 25 companies on the 2018 Thomson Reuters Global Diversity & Inclusion Index.  | The Global Diversity & Inclusion (D&I) Index from Thomson Reuters is based on metrics across four key categories: Diversity; Inclusion; People Development; and News Controversies. According to Thompson Reuters, the top 100 companies that are named to the D&I Index are deemed ""very likely to be the best in class relative to their industry and country peers."" | Building on this success, in 2017 BMO established its set of diversity workforce representation goals to be reached by 2020, which include: | BMO's commitment to diversity goes beyond the organization. In addition to BMO supporting its female employees, BMO is supporting female entrepreneurs by making $3 billion in capital available over the next three years. Helping Canadian businesses owned by women  will create new jobs and strengthen communities.",7,"73, 54, 20, 49, 57, 22, 46","diversity, gender equality, Diversity and Inclusion, Diversity & Inclusion","BMO, BMO - BMO Financial Group Recognized as One of the Most Diverse & Inclusive Companies - 06-Sep-18 - CNW.pdf"
BMO Financial Group,"Environmental Conservation, Corporate Social Responsibility, Human Interest Groups",Top ranked North American bank on Corporate Knights 2020 Global 100 Most Sustainable Corporations in the World Bloomberg Gender-Equality Index (2020) for the fifth year in a row Forbes 2020 Best Employers for Diversity ( United States) Corporate Knights 2019 Best 50 Corporate Citizens in Canada,1,46,diversity,"BMO, BMO - BMO Financial Group Recognized by CDP for Action and Transparency on Environmental Sustainability - 06-Feb-20 - PRN.pdf"
BMO Financial Group,,"TORONTO, Jan. 21, 2020 /CNW/ - BMO Financial Group today announced it has been included in the Bloomberg Gender-Equality Index (GEI) for the fifth year in a row. The global index recognizes companies committed to gender equality and inclusivity within the workplace and the community, and publicly demonstrates each company's commitment to equality and advancing women. This year, the index has expanded to include nearly 6,000 companies across 84 countries. | ""We're also responding to the call for action with women entrepreneurs. This award celebrates our commitment to women business owners, to gender equality within our workforce and inclusive economic opportunity in our communities, which contribute to strengthening the economy on a local and global scale,"" adds Joanna Rotenberg, Group Head, BMO Wealth Management, BMO Financial Group. | BMO is committed to gender equality in its workplace. That's why for the past five years, women continue make up 40 per cent of its senior leaders, while a third of its board members are also women. BMO Alliance for Women , BMO's largest Enterprise Resource Group, with over 3,000 members, is dedicated to championing the inclusion, connection, development, advancement, and support of women for the betterment of BMO's business, communities and culture. In 2019, BMO announced that by 2025 it will double the bank's industry leading support for women entrepreneurs, including increasing the team of dedicated business relationship managers. | In 2019, BMO, in partnership with the Government of Canada, committed to designing and delivering a training program for women's organizations across Canada to improve their strategic and financial planning. The webcasts were available at no cost to all women's organizations nationally, including those that applied under the Department for Women and Gender Equality's Capacity-building Fund. Supporting women entrepreneurs' access to credit to grow their businesses – In 2018, it announced $3 billion in capital would be available over three years for Canadian businesses owned by women, which will also create new jobs and strengthen communities. BMO for Women connects female investors and business owners to support, advice and tools – BMO for Women is a first of its kind team dedicated to developing an understanding of the wealth and business needs of women, and supporting them with digital tools, research sponsorships of organizations, and more. | BMO Financial Group is committed to diversity and inclusion through several initiatives including: | BMO Financial Group Recognized for Fifth Year in a Row by Bloomberg's Gender-Equality Index   Tuesday, January 21, 2020 12:30:00 PM (GMT)",6,"70, 56, 100, 146, 13, 21","gender equality, Diversity and Inclusion, gender-equality","BMO, BMO - BMO Financial Group Recognized for Fifth Year in a Row by Bloomberg's Gender-Equality Index - 21-Jan-20 - CNW.pdf"
,CONTESTS & AWARDS,"Driving social change by investing in gender-diverse companies -- BMO was the first Canadian bank to launch an impact-investing mutual fund focused on gender diversity - the BMO Women in Leadership Fund, which launched in April 2016, provides investors with exposure to a portfolio of North American companies with gender-diverse leadership.  | A diverse Board helps us make better decisions -- BMO's Board of Directors believes that a board made up of highly qualified directors helps us make better decisions. Thus BMO's Board Diversity Policy includes the goal that each gender comprise at least one-third of the independent directors - currently, 36.4 per cent  of BMO's independent board members are women.  | BMO Financial Group Recognized in Bloomberg Financial Services Gender-Equality Index   Wednesday, January 25, 2017 02:00:00 PM (GMT) | TORONTO, ONTARIO--(Marketwired - Jan. 25, 2017) - BMO Financial Group today announced that it is one of 52 firms recognized in the 2017 Bloomberg Financial Services Gender-Equality Index. The index provides investors and organizations with standardized aggregate data across company gender statistics, employee policies, gender-conscious product offerings and external community support and engagement.",4,"51, 59, 17, 53","diversity, gender-equality","BMO, BMO - BMO Financial Group Recognized in Bloomberg Financial Services Gender-Equality Index - 25-Jan-17 - INW.pdf"
BMO Financial Group,,"Top ranked North American bank on Corporate Knights 2020 Global 100 Most Sustainable Corporations in the World Recognized at the Leadership band by the CDP (formerly called the Carbon Disclosure Project) for its strong actions and transparency in the areas of climate change governance, climate change risk management, and greenhouse gas emissions reduction Bloomberg Gender-Equality Index (2020) for the fifth year in a row Forbes 2020 Best Employers for Diversity ( United States)",1,73,diversity,"BMO, BMO - BMO Financial Group to Source 100 Per Cent of Electricity Usage From Renewables - 20-Apr-20 - PRN.pdf"
,CONTESTS & AWARDS,"TORONTO, ONTARIO--(Marketwired - Feb. 1, 2017) - BMO Financial Group was named a 2017 Catalyst Award winner for its industry-leading work to accelerate diversity and inclusion in its workplace and for its strong commitment to gender equality. BMO is one of only nine organizations in the world to win the award twice. | The Catalyst Award recognizes innovative diversity and inclusion initiatives that show demonstrable progress on the recruitment, development and advancement of all women, including diverse women. | Central to this recognition is BMO's Diversity and Inclusion Renewal (DIR) program, a North American strategy to build an inclusive work environment across the organization that drives employee, customer, and business goals. Launched in 2012, the initiative focuses on transforming BMO's senior leadership ranks, talent pipeline, and organizational culture through innovative diversity and inclusion strategies.  | ""In 2012, we decided to re-double our efforts on diversity and inclusion by introducing a more deeply integrated approach to this work. The renewal agenda we laid out had no less a goal than to ensure we're tapping into the full potential of every person in the bank. Period. That's the standard to which we hold ourselves accountable - and 'we' applies to everyone: the Executive Committee, the Board of Directors, the various D&I teams throughout the company, but also individual leaders and people managers at all levels,"" added Mr. Downe. | ""It's all the more gratifying to learn we're in such great company with this year's honorees and congratulate 3M and Rockwell Automation for raising the bar higher for us all. I think we all hope that, in the process, we are inspiring the next generation to be agents of change. Our diversity is our strength,"" concluded Mr. Downe. | Leader-led change: BMO formed the Leadership Committee for Inclusion and Diversity (LCID) - an enterprise-wide committee of executives focused on removing barriers to the advancement of diverse talent across the organization. LCID established strategic priorities that defined the direction of the renewal agenda, and created associated action plans and workforce goals. | In November 2014, BMO announced the creation of an additional $2-billion in credit available to women entrepreneurs. In 2016 we announced that we will be providing further credit. In July 2014, BMO Nesbitt Burns launched a new webpage designed to educate and recruit women for investment advisory, becoming the first financial institution in Canada to offer a webpage exclusively focused on educating women about opportunities within the financial services industry. Since its inception in 1995, BMO has supported Women in Capital Markets, a non-profit organization that promotes the entry, advancement and development of women in the capital markets industry. Women in a Supported Environment - WISE is a BMO Affinity Group, a community of employees who champion the inclusion, connection, development, advancement, and support of women for the betterment of BMO's business, communities and culture. Canadian Women's Foundation - BMO is a donor to this organization that supports women and girls who face the highest risks, such as those with a disability and those who live in communities with the fewest services, such as remote northern communities. BMO is the exclusive sponsor of the Rotman Business School's Women in Leadership Speakers Series, which profiles leading thinkers in inclusion and gender diversity. GroYourBiz - BMO is a lead sponsor. GroYourBiz™ was developed for women entrepreneurs that want to take their business to the next level by drawing upon the skills, expertise, inspiration and energy of like-minded individuals who offer practical solutions. We have a banker on each board to provide financial expertise to the entrepreneurs. Women and Money Seminar - BMO's Life Transition Expert, Dr. Amy D'Aprix, hosts these seminars across the country discussing how women can improve their relationship with money and become more confident and in control of their financial life. BMO Celebrating Women - in 2017 BMO will be holding 12 BMO Celebrating Women events in Canada and will launch 4 in the US. These events honour women in 3 categories | Earlier in the month, BMO was also named to the 2017 Bloomberg Financial Services Gender-Equality Index for gender disclosures and best-in-class policies and practices -- one of only 52 firms globally to be included. | The 2017 Bloomberg Financial Services Gender-Equality Index provides investors and organizations with",9,"52, 25, 55, 91, 58, 51, 323, 34, 12","gender equality, Diversity and Inclusion, diversity, gender-equality","BMO, BMO - BMO Financial Group Wins 2017 Catalyst Award - 01-Feb-17 - INW.pdf"
BMO Financial Group,,"BMO Financial Group Wins 2017 Gender Equality Award  Wednesday, April 05, 2017 04:27:00 PM (GMT) | TORONTO, April 5, 2017 /CNW/ - BMO Financial Group was named a 2017 Gender Equality Award winner by the United Nations' Global Compact Canada Network at the Gender Equality Awards in  Toronto on April 4. BMO was recognized for Principle 5 for its industry-leading efforts in implementing enterprise development, supply chain and marketing practices that empower women. | Each year, the Gender Equality Awards recognize the efforts of businesses that aim to achieve the  United Nations' sustainable development goals related to gender equality and the advancement of women as part of their national and global business operations. | BMO initiatives focused on gender equality and the advancement of women: | BMO Women in Leadership Fund: Launched in 2016, it is the first impact investing mutual fund offered by a Canadian bank focused on gender diversity. The Fund invests in North American companies that have a female CEO or a board of directors with at least 25 per cent female representation.",5,"15, 57, 39, 11, 50","gender equality, diversity","BMO, BMO - BMO Financial Group Wins 2017 Gender Equality Award - 05-Apr-17 - CNW.pdf"
BMO Financial Group,,"Mr. Mendes chairs BMO Pride– an enterprise resource group comprised of employees across Canada, Europe, and Asia collectively working to ensure an inclusive environment for LGBTQ2+ employees and customers. BMO's ERGs are employee-led and key enablers of diversity and inclusion at BMO with more than 6,000 allies and members. Through his involvement in BMO Pride he has helped to: | ""I am thrilled Miguel is being honoured for his exemplary work as an advocate for inclusivity and diversity,"" said Mona Malone, Head of People & Culture and Chief Human Resources Officer, BMO Financial Group. ""All too often LGBTQ2+ individuals are unable to live safely as their authentic selves. At BMO, we believe it's our Purpose to Boldly Grow the Good in business and in life, and we are proud to work alongside leaders such as Miguel to fuel change and work towards creating an inclusive society.""",2,"59, 86","Diversity and Inclusion, diversity","BMO, BMO - BMO Financial Group's Miguel Mendes Honoured for Contributions to LGBTQ2+ Community - 25-Oct-19 - CNW.pdf"
BMO Financial Group,,"40 per cent of senior leadership roles are held by women 25 per cent of senior roles are held by Minorities or Persons of Colour Bloomberg recognized BMO as one of the top-ranked Financial Institutions for gender equality for three years in a row Thomson Reuters recognized BMO as one of the most diverse and inclusive companies in the world for two years in a row BMO is a two-time winner of the Catalyst award BMO was recognized as one of the best places to work for LGBTQ Employees by  The Human Rights | Pat Cronin, formerly Group Head of BMO Capital Markets and recently appointed to Chief Risk Officer of BMO Financial Group, received the WCM Award for Transformational Leadership –  which recognizes senior executives who have made a lasting contribution to gender diversity and inclusion at their firm and are driving organizational and cultural change with measurable impacts. | Mr. Cronin has demonstrated leadership and commitment to raising awareness and implementing programs that support diversity and inclusion at BMO. For example: | Diversity and inclusion are core BMO values – drivers of sustainability that influence business strategy. BMO creates an environment where everyone is valued, respected and heard; where employees can bring their best selves to work – for the benefit of their co-workers, their communities and customers, and themselves. As a result of sustained efforts to build a diverse workforce and create a culture of inclusion, BMO has seen strong progress against diversity and inclusion goals. Key highlights include: | Ms. Tihotchi was honoured for her passion  about giving back to her community, her work in encouraging young women to consider careers in capital markets, and advancing gender diversity within the bank and in the industry more broadly. She actively supports the advancement of other women by serving as a mentor and trusted advisor to peers, junior colleagues and to new recruits in BMO Capital Markets' Rotational Program. | BMO Financial Group's Commitment to Diversity",6,"93, 56, 22, 78, 68, 6","gender equality, Diversity and Inclusion, diversity","BMO, BMO - BMO Financial Group's Pat Cronin and Maria Tihotchi Awarded by Women in Capital Markets - 28-Nov-18 - CNW.pdf"
BMO Financial Group,"Economy, Business, Finance, Business (General), Labor, Human Resource and Employment Issues","BMO Diversity and Inclusion Diversity, and how we learn from each other's differences, is a core value at BMO. We strive to create an environment that is reflective of the communities we serve; where diverse perspectives are welcome and everyone is comfortable being their authentic selves. As we learn from our differences, we are able to bring together diverse backgrounds, perspectives and communities. Building a diverse and inclusive workplace helps us ensure our employees and customers feel valued, respected and heard.",1,81,Diversity and Inclusion,"BMO, BMO - BMO Financial Group's Victor Tung One of Canada's Top 40 Under 40® - 27-Jun-18 - CNW.pdf"
,,"Mr. Fish is a passionate promoter of diversity and inclusion. He serves as BMO Financial Group's Executive Diversity Champion and is Co-Chair of the Bank's enterprise-wide Diversity Renewal Council. He is also Chair of BMO's Legal Diversity Council, which was the first employee-led Diversity Council of a corporate area at BMO. | Mr. Fish, who is EVP and General Counsel at BMO, was recognized in the Corporate Commercial category. Judges noted that Mr. Fish ""is reshaping the external counsel relationship model, encouraging greater diversity and being a leader in sustainability."" | In 2013, under his guidance, BMO became one of the first Canadian financial institutions to ask its external law firms to report the diversity statistics of their workforce as a criterion for being considered to deliver legal services to the bank. Mr. Fish is encouraging other corporations to make similar disclosure requests of their legal service providers and to work together using a consistent approach. | ""I am privileged to have a very unique opportunity in my role as General Counsel, to work with very talented and committed individuals - within BMO and within the legal community at large - to advance the profession's commitment to Corporate Social Responsibility and to drive change in the areas of sustainability and diversity within our profession and the bank itself,"" said Mr. Fish. | BMO and the Legal Group were recognized with the 2013 Social Responsibility Award for the significant work within the bank itself and within the broader legal community, to drive change in the areas of sustainability and diversity.  | Last year, Mr. Fish advised BMO's Board of Directors on a new board diversity policy, which it adopted. The policy commits BMO to board composition in which each gender comprises no less than one-third of the independent directors. BMO is also a signatory of the Catalyst Accord. | Mr. Fish is a founding member of the  Legal Leaders for Diversity , a group of 70 Canadian General Counsel who have declared their support and commitment for creating a more inclusive legal profession as well as supporting diversity initiatives within each member's organization. ",7,"51, 38, 65, 64, 37, 47, 44","Diversity and Inclusion, diversity","BMO, BMO - BMO General Counsel Honoured - 05-Aug-14 - INW.pdf"
BMO Harris Bank,"Corporate Social Responsibility, Human Interest Groups, Public Safety","BMO Harris Bank Offering Support And Working With Community To Promote Diversity And Inclusion  Wednesday, August 08, 2012 06:45:00 PM (GMT) | OAK CREEK, Wis., Aug. 8, 2012 /PRNewswire/ -- BMO Harris Bank today announced it plans to contribute $10,000 to promote diversity and inclusion. The donation will go to the Act Now! program of the Children's Hospital of Wisconsin which is built upon understanding, respect, compassion and acceptance. | Accepting Public Donations Contributing to Diversity & Inclusion Educational Efforts and Supporting those Impacted | ""We commend Lt. Murphy and the brave men and women of the Oak Creek Police Department and our hearts go out to the  Sikh community – not only our friends here in Wisconsin – but to Sikhs everywhere,"" said Brad Chapin, Executive Vice President, Personal Banking, BMO Harris Bank. ""We gain strength and perspective from the diversity of our community.""",4,"21, 47, 14, 60","diversity, Diversity and Inclusion, Diversity & Inclusion","BMO, BMO - BMO Harris Bank Offering Support And Working With Community To Promote Diversity And Inclusion - 08-Aug-12 - PRN.pdf"
